benua,negara,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Australia,Vanuatu,NA,NA,NA,NA,NA,NA,0,NA,NA,190.7,0,0,0,3.8,8.8
Eropa,Albania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,73.2,6.8,59
Eropa,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,71.1,129.6
Eropa,Armenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,7,697,2245,1100.3
Eropa,Austria,70,19670.5,6756.4,6720.7,1588.6,274.8,7443.9,3161.9,71406.7,19696.7,1221.4,63348.5,67399.4,102207.7,8641.1
Eropa,Azerbaijan,NA,NA,NA,NA,NA,0,NA,180,0,0,0,5.5,0,846.3,828.2
Eropa,Belanda,608266.2,1354448.3,966541.1,927816.6,1726338,1307784,1475187.7,1489424.5,943123.2,2596782.2,1422375.4,1761621.8,1220216.3,1258314.3,815575.2
Eropa,Belarusia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,150.2,4085.7,2035.9
Eropa,Belgia,15944.5,11701.4,23946.7,60270.7,13613.8,7444.7,169702.9,130532.3,216373.2,86841.7,27041,55514,73163.3,98921.7,118049.4
Eropa,Bosnia dan Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Eropa,British Isles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15430.9,110.7,NA,NA,NA
Eropa,Bulgaria,NA,3450,7442.3,1109.6,0,870,0,1213.1,521.3,177.8,176.4,154.5,1001,2905,368.5
Eropa,Ceko,33388.9,NA,NA,0.1,200,765.8,1254.7,1554.3,968.5,1062.7,754.5,1036.8,3234.2,3563.8,5522
Eropa,Denmark,150,141,96,4954.2,1438.3,2022.9,760,17958.5,1816.2,7604.1,2505,14242.7,12696.3,30554.4,35311.8
Eropa,Estonia,NA,NA,NA,NA,150,NA,30,0,0,NA,7,NA,313.6,635,694.1
Eropa,Finlandia,300,400,0,794,3597.8,0,12252.2,200,3528.2,5330.8,3.8,4983.6,2691.8,1538.7,1417.8
Eropa,Georgia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Eropa,Gibraltar,NA,NA,NA,NA,0,0,0,NA,NA,NA,9.2,0,37.6,0,37.3
Eropa,Guernsey,NA,NA,NA,NA,NA,NA,0,4099.2,764.9,423.3,16.2,4158,0,NA,NA
Eropa,Hungaria,260,330,0,5,540.1,0,80.6,50,1900.1,798.7,1560.3,1962.9,84480.9,47023.6,31068.6
Eropa,Inggris,276246.3,418978.2,934360.4,1075794.8,1587955.7,503219.6,307264.7,774784,271133.6,142121.7,192752.4,322949.1,628275.8,386653.7,305522.4
Eropa,Irlandia,0,0,NA,200,NA,50,1995.5,3640,602.3,25412.4,15411.5,31784.9,1452.4,22367.8,14060.4
Eropa,Islandia,NA,NA,NA,0,0,NA,NA,0,1.9,105.3,45.1,207,22.5,564.1,228
Eropa,Isle of Man,NA,150,0,0,NA,91.6,120.3,NA,0,0,0,0,0,NA,NA
Eropa,Italia,23430.4,5969.5,22937.2,36891.9,63023.6,104122.9,26718.5,64858.8,32088.5,27445.3,12681.1,37589.1,26872.2,37512.2,37084.6
Eropa,Jerman,157594.6,158130.6,75781.6,53347.1,50161.4,57267.9,133158.8,288980.5,280418.1,189303.2,143614,182319,195494.8,157766.5,199324.3
Eropa,Kepulauan Channel,0,0,NA,0,190.5,80,4674,14814.1,74.6,0,0,0,NA,NA,NA
Eropa,Kroasia,NA,NA,0,0,NA,0,NA,0,783,635.9,0,0,0.1,63,106.3
Eropa,Latvia,NA,NA,NA,NA,NA,NA,76.6,59.3,140.5,NA,0,4.8,4.3,2204.3,3191.7
Eropa,Liechtenstein,NA,NA,NA,NA,NA,NA,0,0,0,9.3,0,0,0,0,NA
Eropa,Lithuania,NA,NA,NA,NA,NA,NA,881,333.7,1810.2,562.8,525,442.6,727.6,2808.9,4265.3
Eropa,Luxembourg,0,48347.1,97968.2,140050.4,85782.6,66649.1,181905,79380,134260.7,126017.3,209184.7,144551.9,64466.7,151614.5,52413.8
Eropa,Malta,NA,NA,NA,NA,NA,NA,119736,7549.2,4597.8,5263.2,1759.1,13031,2010.1,903.1,488.3
