Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2007,731," (adjusted for inflation, 2023 dollars)",,$731.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2008,899.1," (adjusted for inflation, 2023 dollars)",,$899.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2009,1057.1," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2010,1219.1," (adjusted for inflation, 2023 dollars)",$1.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2011,1450.5," (adjusted for inflation, 2023 dollars)",$1.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2012,1599," (adjusted for inflation, 2023 dollars)",$1.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2013,1611.6," (adjusted for inflation, 2023 dollars)",$1.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2014,1438.8," (adjusted for inflation, 2023 dollars)",$1.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2015,1368.4," (adjusted for inflation, 2023 dollars)",$1.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2016,1102.7," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2017,807.7," (adjusted for inflation, 2023 dollars)",,$807.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2018,601," (adjusted for inflation, 2023 dollars)",,$601.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2019,439.2," (adjusted for inflation, 2023 dollars)",,$439.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2020,375.9," (adjusted for inflation, 2023 dollars)",,$375.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2021,341," (adjusted for inflation, 2023 dollars)",,$341.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2022,251.8," (adjusted for inflation, 2023 dollars)",,$251.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Album,Value (Adjusted),2023,204.7," (adjusted for inflation, 2023 dollars)",,$204.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2005,5.8," (adjusted for inflation, 2023 dollars)",,$5.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2006,29.8," (adjusted for inflation, 2023 dollars)",,$29.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2007,41.4," (adjusted for inflation, 2023 dollars)",,$41.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2008,58.4," (adjusted for inflation, 2023 dollars)",,$58.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2009,58.1," (adjusted for inflation, 2023 dollars)",,$58.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2010,51.1," (adjusted for inflation, 2023 dollars)",,$51.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2011,43.9," (adjusted for inflation, 2023 dollars)",,$43.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2012,27.7," (adjusted for inflation, 2023 dollars)",,$27.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2013,21.9," (adjusted for inflation, 2023 dollars)",,$21.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2014,17.5," (adjusted for inflation, 2023 dollars)",,$17.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2015,8.2," (adjusted for inflation, 2023 dollars)",,$8.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2016,5.4," (adjusted for inflation, 2023 dollars)",,$5.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2017,3.5," (adjusted for inflation, 2023 dollars)",,$3.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2018,2.7," (adjusted for inflation, 2023 dollars)",,$2.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2019,2.2," (adjusted for inflation, 2023 dollars)",,$2.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2020,2.1," (adjusted for inflation, 2023 dollars)",,$2.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2021,2.2," (adjusted for inflation, 2023 dollars)",,$2.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Music Video,Value (Adjusted),2022,1.4," (adjusted for inflation, 2023 dollars)",,$1.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2004,222.6," (adjusted for inflation, 2023 dollars)",,$222.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2005,566.8," (adjusted for inflation, 2023 dollars)",,$566.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2006,877.5," (adjusted for inflation, 2023 dollars)",,$877.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2007,1191.8," (adjusted for inflation, 2023 dollars)",$1.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2008,1460.8," (adjusted for inflation, 2023 dollars)",$1.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2009,1664.6," (adjusted for inflation, 2023 dollars)",$1.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2010,1867.4," (adjusted for inflation, 2023 dollars)",$1.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2011,2062.2," (adjusted for inflation, 2023 dollars)",$2.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2012,2182.6," (adjusted for inflation, 2023 dollars)",$2.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2013,2058," (adjusted for inflation, 2023 dollars)",$2.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2014,1744.4," (adjusted for inflation, 2023 dollars)",$1.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2015,1523.7," (adjusted for inflation, 2023 dollars)",$1.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2016,1142.8," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2017,830.2," (adjusted for inflation, 2023 dollars)",,$830.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2018,594.4," (adjusted for inflation, 2023 dollars)",,$594.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2019,480.3," (adjusted for inflation, 2023 dollars)",,$480.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2020,365.4," (adjusted for inflation, 2023 dollars)",,$365.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2021,302.4," (adjusted for inflation, 2023 dollars)",,$302.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2022,223," (adjusted for inflation, 2023 dollars)",,$223.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Download Single,Value (Adjusted),2023,190.8," (adjusted for inflation, 2023 dollars)",,$190.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2005,1.6," (adjusted for inflation, 2023 dollars)",,$1.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2006,2.9," (adjusted for inflation, 2023 dollars)",,$2.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2007,3.8," (adjusted for inflation, 2023 dollars)",,$3.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2008,3.7," (adjusted for inflation, 2023 dollars)",,$3.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2009,8.9," (adjusted for inflation, 2023 dollars)",,$8.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2010,8.9," (adjusted for inflation, 2023 dollars)",,$8.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2011,3.7," (adjusted for inflation, 2023 dollars)",,$3.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2012,4.8," (adjusted for inflation, 2023 dollars)",,$4.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2013,8.1," (adjusted for inflation, 2023 dollars)",,$8.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2014,3.3," (adjusted for inflation, 2023 dollars)",,$3.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2015,4.8," (adjusted for inflation, 2023 dollars)",,$4.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2016,3.7," (adjusted for inflation, 2023 dollars)",,$3.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2017,2.8," (adjusted for inflation, 2023 dollars)",,$2.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2018,2.4," (adjusted for inflation, 2023 dollars)",,$2.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2019,1.9," (adjusted for inflation, 2023 dollars)",,$1.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2020,1.4," (adjusted for inflation, 2023 dollars)",,$1.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2021,0.8," (adjusted for inflation, 2023 dollars)",,$0.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Kiosk,Value (Adjusted),2022,0.4," (adjusted for inflation, 2023 dollars)",,$0.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1973,8550.9," (adjusted for inflation, 2023 dollars)",$8.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1974,8380.9," (adjusted for inflation, 2023 dollars)",$8.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1975,8410.5," (adjusted for inflation, 2023 dollars)",$8.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1976,8905.4," (adjusted for inflation, 2023 dollars)",$8.9B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1977,11037.2," (adjusted for inflation, 2023 dollars)",$11.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1978,11558.6," (adjusted for inflation, 2023 dollars)",$11.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1979,8633.2," (adjusted for inflation, 2023 dollars)",$8.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1980,8135.2," (adjusted for inflation, 2023 dollars)",$8.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1981,7849.5," (adjusted for inflation, 2023 dollars)",$7.8B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1982,6078.6," (adjusted for inflation, 2023 dollars)",$6.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1983,5167.1," (adjusted for inflation, 2023 dollars)",$5.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1984,4542.1," (adjusted for inflation, 2023 dollars)",$4.5B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1985,3626.1," (adjusted for inflation, 2023 dollars)",$3.6B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1986,2732.9," (adjusted for inflation, 2023 dollars)",$2.7B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1987,2127.3," (adjusted for inflation, 2023 dollars)",$2.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1988,1370.8," (adjusted for inflation, 2023 dollars)",$1.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1989,541.3," (adjusted for inflation, 2023 dollars)",,$541.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1990,201.7," (adjusted for inflation, 2023 dollars)",,$201.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1991,65.8," (adjusted for inflation, 2023 dollars)",,$65.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1992,29.3," (adjusted for inflation, 2023 dollars)",,$29.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1993,22.4," (adjusted for inflation, 2023 dollars)",,$22.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1994,36.6," (adjusted for inflation, 2023 dollars)",,$36.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1995,50.2," (adjusted for inflation, 2023 dollars)",,$50.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1996,71.5," (adjusted for inflation, 2023 dollars)",,$71.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1997,63.2," (adjusted for inflation, 2023 dollars)",,$63.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1998,63.6," (adjusted for inflation, 2023 dollars)",,$63.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),1999,58.2," (adjusted for inflation, 2023 dollars)",,$58.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2000,49," (adjusted for inflation, 2023 dollars)",,$49.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2001,47.1," (adjusted for inflation, 2023 dollars)",,$47.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2002,34.7," (adjusted for inflation, 2023 dollars)",,$34.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2003,35.9," (adjusted for inflation, 2023 dollars)",,$35.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2004,31.1," (adjusted for inflation, 2023 dollars)",,$31.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2005,22.2," (adjusted for inflation, 2023 dollars)",,$22.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2006,23.7," (adjusted for inflation, 2023 dollars)",,$23.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2007,33.7," (adjusted for inflation, 2023 dollars)",,$33.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2008,80.2," (adjusted for inflation, 2023 dollars)",,$80.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2009,90.6," (adjusted for inflation, 2023 dollars)",,$90.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2010,124.2," (adjusted for inflation, 2023 dollars)",,$124.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2011,161.7," (adjusted for inflation, 2023 dollars)",,$161.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2012,213.3," (adjusted for inflation, 2023 dollars)",,$213.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2013,275.6," (adjusted for inflation, 2023 dollars)",,$275.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2014,313.9," (adjusted for inflation, 2023 dollars)",,$313.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2015,428.6," (adjusted for inflation, 2023 dollars)",,$428.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2016,451.2," (adjusted for inflation, 2023 dollars)",,$451.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2017,482.9," (adjusted for inflation, 2023 dollars)",,$482.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2018,508.7," (adjusted for inflation, 2023 dollars)",,$508.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2019,614.4," (adjusted for inflation, 2023 dollars)",,$614.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2020,819.8," (adjusted for inflation, 2023 dollars)",,$819.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2021,1221.5," (adjusted for inflation, 2023 dollars)",$1.2B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2022,1274.8," (adjusted for inflation, 2023 dollars)",$1.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",LP/EP,Value (Adjusted),2023,1350.2," (adjusted for inflation, 2023 dollars)",$1.4B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2016,326.6," (adjusted for inflation, 2023 dollars)",,$326.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2017,707," (adjusted for inflation, 2023 dollars)",,$707.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2018,898.6," (adjusted for inflation, 2023 dollars)",,$898.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2019,755.8," (adjusted for inflation, 2023 dollars)",,$755.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2020,845.2," (adjusted for inflation, 2023 dollars)",,$845.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2021,1008.7," (adjusted for inflation, 2023 dollars)",$1.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2022,1106.8," (adjusted for inflation, 2023 dollars)",$1.1B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Limited Tier Paid Subscription,Value (Adjusted),2023,1021.4," (adjusted for inflation, 2023 dollars)",$1.0B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1989,283.6," (adjusted for inflation, 2023 dollars)",,$283.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1990,401.7," (adjusted for inflation, 2023 dollars)",,$401.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1991,264.2," (adjusted for inflation, 2023 dollars)",,$264.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1992,341.8," (adjusted for inflation, 2023 dollars)",,$341.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1993,449.8," (adjusted for inflation, 2023 dollars)",,$449.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1994,475.1," (adjusted for inflation, 2023 dollars)",,$475.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1995,440.5," (adjusted for inflation, 2023 dollars)",,$440.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1996,458.5," (adjusted for inflation, 2023 dollars)",,$458.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1997,614.9," (adjusted for inflation, 2023 dollars)",,$614.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1998,949.6," (adjusted for inflation, 2023 dollars)",,$949.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),1999,689," (adjusted for inflation, 2023 dollars)",,$689.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2000,498.8," (adjusted for inflation, 2023 dollars)",,$498.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2001,566.4," (adjusted for inflation, 2023 dollars)",,$566.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2002,488.5," (adjusted for inflation, 2023 dollars)",,$488.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2003,662.2," (adjusted for inflation, 2023 dollars)",,$662.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2004,979.4," (adjusted for inflation, 2023 dollars)",,$979.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2005,939.5," (adjusted for inflation, 2023 dollars)",,$939.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2006,681.8," (adjusted for inflation, 2023 dollars)",,$681.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2007,712.6," (adjusted for inflation, 2023 dollars)",,$712.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2008,321.7," (adjusted for inflation, 2023 dollars)",,$321.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2009,297.7," (adjusted for inflation, 2023 dollars)",,$297.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2010,248.2," (adjusted for inflation, 2023 dollars)",,$248.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2011,204.5," (adjusted for inflation, 2023 dollars)",,$204.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2012,154.8," (adjusted for inflation, 2023 dollars)",,$154.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2013,139," (adjusted for inflation, 2023 dollars)",,$139.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2014,115.5," (adjusted for inflation, 2023 dollars)",,$115.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2015,90.5," (adjusted for inflation, 2023 dollars)",,$90.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2016,72.3," (adjusted for inflation, 2023 dollars)",,$72.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Music Video (Physical),Value (Adjusted),2017,46.6," (adjusted for inflation, 2023 dollars)",,$46.6M,$819.6B,,$819604.4B,0
