Adjusted for Inflation Title,Format,Metric,Year,Value (Actual),Adjusted for Inflation Flag,Format Value # (Billion),Format Value # (Million),Total Value # (Billion),Total Value # (Million),Total Value For Year,Zero
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1993,96.6," (adjusted for inflation, 2023 dollars)",,$96.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1994,115.3," (adjusted for inflation, 2023 dollars)",,$115.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1995,221.7," (adjusted for inflation, 2023 dollars)",,$221.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1996,357.5," (adjusted for inflation, 2023 dollars)",,$357.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1997,517.7," (adjusted for inflation, 2023 dollars)",,$517.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1998,398.5," (adjusted for inflation, 2023 dollars)",,$398.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),1999,406.8," (adjusted for inflation, 2023 dollars)",,$406.8M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2000,252.5," (adjusted for inflation, 2023 dollars)",,$252.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2001,136.6," (adjusted for inflation, 2023 dollars)",,$136.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2002,33.2," (adjusted for inflation, 2023 dollars)",,$33.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2003,59.6," (adjusted for inflation, 2023 dollars)",,$59.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2004,24.2," (adjusted for inflation, 2023 dollars)",,$24.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2005,17," (adjusted for inflation, 2023 dollars)",,$17.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2006,11.6," (adjusted for inflation, 2023 dollars)",,$11.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2007,17.9," (adjusted for inflation, 2023 dollars)",,$17.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2008,5," (adjusted for inflation, 2023 dollars)",,$5.0M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2009,4.4," (adjusted for inflation, 2023 dollars)",,$4.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2010,4.1," (adjusted for inflation, 2023 dollars)",,$4.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2011,4.7," (adjusted for inflation, 2023 dollars)",,$4.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2012,4.3," (adjusted for inflation, 2023 dollars)",,$4.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2013,3.2," (adjusted for inflation, 2023 dollars)",,$3.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2014,4.7," (adjusted for inflation, 2023 dollars)",,$4.7M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2015,1.5," (adjusted for inflation, 2023 dollars)",,$1.5M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2016,0.3," (adjusted for inflation, 2023 dollars)",,$0.3M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2017,0.2," (adjusted for inflation, 2023 dollars)",,$0.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2018,0," (adjusted for inflation, 2023 dollars)",,$0.0,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2019,0.1," (adjusted for inflation, 2023 dollars)",,$0.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2020,0.4," (adjusted for inflation, 2023 dollars)",,$0.4M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2021,0.1," (adjusted for inflation, 2023 dollars)",,$0.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",CD Single,Value (Adjusted),2022,7.1," (adjusted for inflation, 2023 dollars)",,$7.1M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1973,521.6," (adjusted for inflation, 2023 dollars)",,$521.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1974,538.9," (adjusted for inflation, 2023 dollars)",,$538.9M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1975,559.6," (adjusted for inflation, 2023 dollars)",,$559.6M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1976,780.2," (adjusted for inflation, 2023 dollars)",,$780.2M,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1977,1255," (adjusted for inflation, 2023 dollars)",$1.3B,,$819.6B,,$819604.4B,0
"Adjusted for Inflation, 2023 Dollars",Cassette,Value (Adjusted),1978,2102.1," (adjusted for inflation, 2023 dollars)",$2.1B,,$819.6B,,$819604.4B,0
